lr-Adam,epoch,step,train_bpd,val_bpd,test_bpd
0.001,,0,,,
,0,49,5.284992694854736,,
,0,99,4.942521095275879,,
,0,149,4.738490104675293,,
,0,199,4.6739397048950195,,
,0,249,4.538321018218994,,
,0,299,4.457344055175781,,
,0,349,4.454127311706543,,
0.00099,,351,,,
,1,399,4.3012919425964355,,
,1,449,4.317051887512207,,
,1,499,4.454311370849609,,
,1,549,4.306027889251709,,
,1,599,4.179597854614258,,
,1,649,4.343536376953125,,
,1,699,4.2354655265808105,,
0.0009801,,702,,,
,2,749,4.410976409912109,,
,2,799,4.169856071472168,,
,2,849,4.191658020019531,,
,2,899,4.23801326751709,,
,2,949,4.238795280456543,,
,2,999,4.129695892333984,,
,2,1049,4.18913459777832,,
0.000970299,,1053,,,
,3,1099,4.0633087158203125,,
,3,1149,4.084158897399902,,
,3,1199,4.01023006439209,,
,3,1249,4.070940971374512,,
,3,1299,4.159611701965332,,
,3,1349,4.091340065002441,,
,3,1399,4.055612564086914,,
0.0009605960099999999,,1404,,,
,4,1449,4.048177719116211,,
,4,1499,4.052513122558594,,
,4,1549,4.079606533050537,,
,4,1599,4.012557029724121,,
,4,1649,3.9832913875579834,,
,4,1699,3.8673486709594727,,
,4,1749,4.158720970153809,,
0.0009509900498999999,,1755,,,
,5,1799,3.9658005237579346,,
,5,1849,3.8915534019470215,,
,5,1899,4.060431480407715,,
,5,1949,3.9044833183288574,,
,5,1999,3.8786635398864746,,
,5,2049,3.8826591968536377,,
,5,2099,4.034229278564453,,
0.0009414801494009999,,2106,,,
,6,2149,3.8827567100524902,,
,6,2199,3.9588623046875,,
,6,2249,3.856066942214966,,
,6,2299,3.9161362648010254,,
,6,2349,3.847212076187134,,
,6,2399,3.931392192840576,,
,6,2449,3.8485841751098633,,
0.0009320653479069899,,2457,,,
,7,2499,3.8919100761413574,,
,7,2549,3.937333822250366,,
,7,2599,3.878823757171631,,
,7,2649,3.848191976547241,,
,7,2699,3.8312268257141113,,
,7,2749,3.899075984954834,,
,7,2799,3.8693056106567383,,
0.00092274469442792,,2808,,,
,8,2849,3.8886029720306396,,
,8,2899,3.848992347717285,,
,8,2949,3.748114824295044,,
,8,2999,3.903205394744873,,
,8,3049,3.818556308746338,,
,8,3099,3.888385057449341,,
,8,3149,3.829474449157715,,
0.0009135172474836408,,3159,,,
,9,3199,3.957120418548584,,
,9,3249,3.7805490493774414,,
,9,3299,3.8056800365448,,
,9,3349,3.913257122039795,,
,9,3399,3.7725586891174316,,
,9,3449,3.802528142929077,,
,9,3499,3.810697317123413,,
0.0009043820750088043,,3510,,,
,10,3549,3.756155252456665,,
,10,3599,3.7888362407684326,,
,10,3649,3.7747225761413574,,
,10,3699,3.762779951095581,,
,10,3749,3.8082311153411865,,
,10,3799,3.8582680225372314,,
,10,3849,3.7858572006225586,,
0.0008953382542587163,,3861,,,
,11,3899,3.840822696685791,,
,11,3949,3.780841112136841,,
,11,3999,3.782865524291992,,
,11,4049,3.71659517288208,,
,11,4099,3.7307960987091064,,
,11,4149,3.7641358375549316,,
,11,4199,3.761141777038574,,
0.0008863848717161291,,4212,,,
,12,4249,3.7426443099975586,,
,12,4299,3.711475372314453,,
,12,4349,3.8346877098083496,,
,12,4399,3.8757593631744385,,
,12,4449,3.6978721618652344,,
,12,4499,3.8531293869018555,,
,12,4549,3.736039400100708,,
0.0008775210229989678,,4563,,,
,13,4599,3.767320394515991,,
,13,4649,3.6969199180603027,,
,13,4699,3.713275671005249,,
,13,4749,3.7232675552368164,,
,13,4799,3.7920141220092773,,
,13,4849,3.804809808731079,,
,13,4899,3.661686420440674,,
0.0008687458127689781,,4914,,,
,14,4949,3.6989214420318604,,
,14,4999,3.7492713928222656,,
,14,5049,3.727724313735962,,
,14,5099,3.705806255340576,,
,14,5149,3.706676483154297,,
,14,5199,3.800736427307129,,
,14,5249,3.688244342803955,,
,14,5264,,3.720937490463257,
0.0008600583546412883,,5265,,,
,15,5299,3.730109930038452,,
